observation_index,saison,spieltag,spiel,baseline_model,candidate_model,baseline_negative_log_score,candidate_negative_log_score,candidate_score_advantage,cumulative_candidate_score_advantage
372,19/20,8,4,poisson_rolling_306,com_poisson_rolling_306,2.979981363711289,2.8752178214521535,0.10476354225913553,1.4873346886409635
373,19/20,8,5,poisson_rolling_306,com_poisson_rolling_306,2.9514499290107494,2.8226505866723386,0.12879934233841084,1.6161340309793744
374,19/20,8,6,poisson_rolling_306,com_poisson_rolling_306,3.001159633474856,2.885188821489592,0.11597081198526382,1.7321048429646382
375,19/20,8,7,poisson_rolling_306,com_poisson_rolling_306,3.0436003445541644,2.962074208025726,0.08152613652843854,1.8136309794930767
376,19/20,8,8,poisson_rolling_306,com_poisson_rolling_306,3.068568915038327,2.97105938044335,0.0975095345949768,1.9111405140880535
377,19/20,8,9,poisson_rolling_306,com_poisson_rolling_306,3.660692249575817,3.736665267619017,-0.07597301804320011,1.8351674960448534
378,19/20,9,1,poisson_rolling_306,com_poisson_rolling_306,2.9190418680933448,2.7835592146578847,0.13548265343546007,1.9706501494803135
379,19/20,9,2,poisson_rolling_306,com_poisson_rolling_306,2.913134044130558,2.7817254952468318,0.13140854888372644,2.10205869836404
380,19/20,9,3,poisson_rolling_306,com_poisson_rolling_306,2.9067418896058967,2.770337907512868,0.13640398209302873,2.2384626804570686
381,19/20,9,4,poisson_rolling_306,com_poisson_rolling_306,3.148484750134699,3.0737410776859235,0.07474367244877556,2.313206352905844
382,19/20,9,5,poisson_rolling_306,com_poisson_rolling_306,3.0647258076650843,2.966441361637351,0.09828444602773345,2.4114907989335777
383,19/20,9,6,poisson_rolling_306,com_poisson_rolling_306,3.249338125963604,3.203546257037175,0.04579186892642895,2.4572826678600066
384,19/20,9,7,poisson_rolling_306,com_poisson_rolling_306,2.938574393625956,2.818190746796006,0.12038364682994995,2.5776663146899566
385,19/20,9,8,poisson_rolling_306,com_poisson_rolling_306,2.983432828978394,2.880220637399333,0.10321219157906114,2.6808785062690177
386,19/20,9,9,poisson_rolling_306,com_poisson_rolling_306,2.983432828978394,2.880220637399333,0.10321219157906114,2.784090697848079
387,19/20,10,1,poisson_rolling_306,com_poisson_rolling_306,2.9488838996559537,2.8143133129505884,0.13457058670536526,2.918661284553444
388,19/20,10,2,poisson_rolling_306,com_poisson_rolling_306,3.1462076167356656,3.0678659632357608,0.07834165349990485,2.997002938053349
